category,question,question_image,question_hint,type,published,wrong_answer_text,right_answer_text,explanation,user_explanation,not_influence_to_score,weight,answers,options,question_title,tags,id
Nomenclatura náutica,&lt;p&gt;¿Qué es el barbotén?&lt;/p&gt;,,,radio,1,,,,off,off,1,Un tambor firmemente unido al otro extremo del eje del molinete.::0::0::::::A::1::::;;La pieza que permite embragar y desembragar el eje del molinete.::0::0::::::A::2::::;;Una máquina eléctrica o hidráulica que se emplea para virar y arriar la cadena del ancla.::0::0::::::A::3::::;;Una corona con muescas donde se acoplan los eslabones de la cadena.::1::0::::::A::4::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,1
Nomenclatura náutica,"&lt;p&gt;En los barcos con hélices gemelas, la hélice de babor, por lo general es:&lt;/p&gt;",,,radio,1,,,,off,off,1,Dextrógira.::0::0::::::A::5::::;;Levógira.::1::0::::::A::6::::;;De paso múltiple.::0::0::::::A::7::::;;De arrastre.::0::0::::::A::8::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,2
Nomenclatura náutica,&lt;p&gt;¿Qué es el arganeo?&lt;/p&gt;,,,radio,1,,,,off,off,1,"Pieza que encastra en una hendidura que tiene el barbotén.::0::0::::::A::9::::;;Parte plana de la uña de un ancla.::0::0::::::A::10::::;;Argolla que une el ancla a la cadena.::1::0::::::A::11::::;;Un ancla pequeña, también llamada anclote.::0::0::::::A::12::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,3
Nomenclatura náutica,&lt;p&gt;¿Qué es la regala?&lt;/p&gt;,,,radio,1,,,,off,off,1,Pieza longitudinal situada en la parte inferior de la cubierta.::0::0::::::A::13::::;;La parte curva inferior del casco que va de proa a popa.::0::0::::::A::14::::;;Es la parte del casco que cierra la popa del barco.::0::0::::::A::15::::;;Pieza longitudinal situada en la parte superior de la borda.::1::0::::::A::16::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,4
Elementos de amarre y fondeo,&lt;p&gt;¿Cuándo se dice que una embarcación fondea a la gira?&lt;/p&gt;,,,radio,1,,,,off,off,1,"Cuando se fondea con dos anclas de forma que entre ellas, las líneas de fondeo formen un ángulo de 90,::0::0::::::A::17::::;;Cuando se fondea con dos anclas de forma que entre ellas, las líneas de fondeo formen un ángulo de 120,::0::0::::::A::18::::;;Cuando se fondea con un ancla por proa y otra por popa para evitar que la embarcación gire.::0::0::::::A::19::::;;Cuando se fondea con un ancla por la proa, permitiendo que ésta se agarre en el fondo.::1::0::::::A::20::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5
Elementos de amarre y fondeo,&lt;p&gt;¿Para qué se emplea el nudo llano?&lt;/p&gt;,,,radio,1,,,,off,off,1,Para unir por sus chicotes dos cabos de distinta mena.::0::0::::::A::21::::;;Para unir por sus chicotes dos cabos de la misma mena.::1::0::::::A::22::::;;Para afirmar una amarra a una argolla.::0::0::::::A::23::::;;Para formar una gaza que no sea corrediza y así poder encapillar un cabo.::0::0::::::A::24::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,6
Seguridad,&lt;p&gt;¿Cómo se pueden evitar los tirones que se producen durante el remolque?&lt;/p&gt;,,,radio,1,,,,off,off,1,Añadiendo un ramal de cadena que se mantenga bajo el agua.::1::0::::::A::25::::;;Dando un remolque muy corto.::0::0::::::A::26::::;;Colocando un ancla en un extremo del cabo de remolque.::0::0::::::A::27::::;;Usando un cable para dar el remolque.::0::0::::::A::28::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,7
Seguridad,"&lt;p&gt;Al instante del grito de ""hombre al agua por la banda de estribor"":&lt;/p&gt;",,,radio,1,,,,off,off,1,Se deberá parar el motor e invertir el sentido de la marcha.::0::0::::::A::29::::;;El timonel meterá el timón a la banda de babor.::0::0::::::A::30::::;;El timonel meterá el timón a la banda de estribor.::1::0::::::A::31::::;;Se deberá emitir una alerta de socorro.::0::0::::::A::32::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,8
Seguridad,"&lt;p&gt;En condiciones normales, la fijación del cabo de remolque en la embarcación remolcada debería realizarse en:&lt;/p&gt;",,,radio,1,,,,off,off,1,La regala.::0::0::::::A::33::::;;En cualquier cornamusa de amarre.::0::0::::::A::34::::;;Un punto resistente de la zona de proa de la embarcación.::1::0::::::A::35::::;;En cualquier elemento estructural y resistente.::0::0::::::A::36::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,9
Seguridad,"&lt;p&gt;De las siguientes señales pirotécnicas, ¿cuál es la que tiene mayor duración tras activarla?&lt;/p&gt;",,,radio,1,,,,off,off,1,Bengala de mano.::0::0::::::A::37::::;;Señal fumigena flotante.::1::0::::::A::38::::;;Cohete con luz y paracaídas.::0::0::::::A::39::::;;Bengala de humo.::0::0::::::A::40::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,10
Legislación,&lt;p&gt;Cuando las aguas sucias estén mezcladas con residuos o aguas residuales:&lt;/p&gt;,,,radio,1,,,,off,off,1,"Le serán de aplicación, en todo caso, lo previsto para la descarga de aguas sucias.::0::0::::::A::41::::;;Cuando se fijen prescripciones de descarga diferentes, les será de aplicación lo previsto para la descarga de residuos o aguas residuales.::0::0::::::A::42::::;;Cuando se fijen prescripciones de descarga diferentes, se les aplicarán las prescripciones de descarga más rigurosas.::1::0::::::A::43::::;;En ningún caso se permite que las aguas sucias se mezclen con residuos o aguas residuales.::0::0::::::A::44::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,11
