category,question,question_image,question_hint,type,published,wrong_answer_text,right_answer_text,explanation,user_explanation,not_influence_to_score,weight,answers,options,question_title,tags,id
Nomenclatura náutica,"&lt;p&gt;La línea longitudinal imaginaria que divide a un buque en dos partes iguales, se llama…&lt;/p&gt;",,,radio,1,,,,off,off,1,Línea de flotación.::0::0::::::A::21061::::;;Línea de plan.::0::0::::::A::21062::::;;Línea de crujía.::1::0::::::A::21063::::;;Las respuestas b) y c) son correctas.::0::0::::::A::21064::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5266
Nomenclatura náutica,&lt;p&gt;La pieza que cubre la parte superior de la borda se llama…&lt;/p&gt;,,,radio,1,,,,off,off,1,Mamparo.::0::0::::::A::21065::::;;Roda.::0::0::::::A::21066::::;;Bao.::0::0::::::A::21067::::;;Regala.::1::0::::::A::21068::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5267
Nomenclatura náutica,"&lt;p&gt;Doble disco, unido al tambor del molinete, con muescas para que enganchen en ellas los eslabones de la cadena, se llama…&lt;/p&gt;",,,radio,1,,,,off,off,1,Cornamusa.::0::0::::::A::21069::::;;Capacete.::0::0::::::A::21070::::;;Barbotén.::1::0::::::A::21071::::;;Ninguna de las respuestas es correcta.::0::0::::::A::21072::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5268
Nomenclatura náutica,"&lt;p&gt;La apertura practicada en el casco para el paso de la mecha del timón y el juego de la caña, se llama…:&lt;/p&gt;",,,radio,1,,,,off,off,1,Limera.::1::0::::::A::21073::::;;Bocina.::0::0::::::A::21074::::;;Guardín.::0::0::::::A::21075::::;;Ninguna de las respuestas es correcta.::0::0::::::A::21076::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5269
Elementos de amarre y fondeo,"&lt;p&gt;Para amarrar un cabo al arganeo de un ancla, se utilizará preferentemente un nudo…&lt;/p&gt;",,,radio,1,,,,off,off,1,Llano.::0::0::::::A::21077::::;;As de guía.::0::0::::::A::21078::::;;Ballestrinque.::0::0::::::A::21079::::;;Vuelta de rezón.::1::0::::::A::21080::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5270
Elementos de amarre y fondeo,"&lt;p&gt;Ojo, asa o lazo que se forma con un cabo al objeto de engancharlo en algún lugar…&lt;/p&gt;",,,radio,1,,,,off,off,1,Chicote.::0::0::::::A::21081::::;;Seno.::0::0::::::A::21082::::;;Gaza.::1::0::::::A::21083::::;;Boza.::0::0::::::A::21084::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5271
Seguridad,&lt;p&gt;¿Por donde nos acercaremos al náufrago al tratar de recogerlo de la mar?&lt;/p&gt;,,,radio,1,,,,off,off,1,"Por su sotavento.::0::0::::::A::21085::::;;Por su barlovento.::1::0::::::A::21086::::;;Por la amura de estribor del barco.::0::0::::::A::21087::::;;Nunca nos acercaremos, es mejor echarle un aro, que lo coja y cobrar para subirlo a bordo.::0::0::::::A::21088::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5272
Seguridad,&lt;p&gt;¿Qué debemos hacer si se nos aproxima un fuerte chubasco con viento?&lt;/p&gt;,,,radio,1,,,,off,off,1,Asegurar la estanqueidad del barco.::0::0::::::A::21089::::;;Estibar todos los elementos de a bordo y trincar todo aquello susceptible de moverse por efecto de la mar.::0::0::::::A::21090::::;;Dar la amura al viento.::0::0::::::A::21091::::;;Todas las respuestas anteriores son correctas.::1::0::::::A::21092::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5273
Seguridad,"&lt;p&gt;Propiedad que tienen los buques de recuperar su posición de equilibrio, cuando la pierden por causas externas…&lt;/p&gt;",,,radio,1,,,,off,off,1,Permanencia::0::0::::::A::21093::::;;Estabilidad.::1::0::::::A::21094::::;;Quietud.::0::0::::::A::21095::::;;Inmovilidad.::0::0::::::A::21096::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5274
Seguridad,&lt;p&gt;Comprobaciones antes de hacerse a la mar…&lt;/p&gt;,,,radio,1,,,,off,off,1,"Revisión del estado general del motor.::0::0::::::A::21097::::;;Revisión de baterías, luces de navegación, equipo de radio.::0::0::::::A::21098::::;;Revisión de estanqueidad, equipo de seguridad y parte meteorológico.::0::0::::::A::21099::::;;Las tres respuestas anteriores son correctas.::1::0::::::A::21100::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5275
