category,question,question_image,question_hint,type,published,wrong_answer_text,right_answer_text,explanation,user_explanation,not_influence_to_score,weight,answers,options,question_title,tags,id
"Balizamiento","&lt;p&gt;&lt;strong&gt;La marca de tope de una marca especial es:&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Una X amarilla.::1::0::::::A::4217::::;;Un cono rojo.::0::0::::::A::4218::::;;Una esfera verde.::0::0::::::A::4219::::;;Una esfera roja.::0::0::::::A::4220::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","1055"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Una marca de peligro aislado…&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Es una marca colocada o fondeada sobre un peligro e indica que está prohibida la navegación a 200 metros de ella.::0::0::::::A::4213::::;;Es una marca colocada o fondeada sobre un peligro a cuyo alrededor las aguas no son navegables.::0::0::::::A::4214::::;;Es una marca colocada o fondeada sobre un peligro a cuyo alrededor las aguas son navegables.::1::0::::::A::4215::::;;Es una marca colocada o fondeada sobre un peligro que se encuentra al Norte de la misma.::0::0::::::A::4216::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","1054"
"Balizamiento","&lt;p&gt;&lt;strong&gt;La marca cardinal Este, tiene como marca de tope:&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Dos conos negros superpuestos, opuestos por la base.::1::0::::::A::4209::::;;Dos conos negros superpuestos, unidos por el vértice.::0::0::::::A::4210::::;;Dos conos negros superpuestos, con el vértice hacia arriba.::0::0::::::A::4211::::;;Dos conos negros superpuestos, con el vértice hacia abajo.::0::0::::::A::4212::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","1053"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Para indicar que las aguas más profundas de la zona en que se encuentra colocada son las del cuadrante que da nombre a la marca, se utilizan…&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Las marcas cardinales.::1::0::::::A::4205::::;;Las marcas laterales.::0::0::::::A::4206::::;;Las marcas de aguas navegables.::0::0::::::A::4207::::;;Las marcas de peligro aislado.::0::0::::::A::4208::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","1052"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Para indicar los lados de babor y estribor de la derrota que debe seguirse en un canal, se utilizan las…&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Marcas laterales::1::0::::::A::4201::::;;Marcas cardinales::0::0::::::A::4202::::;;Marcas de peligro aislado::0::0::::::A::4203::::;;Marcas especiales::0::0::::::A::4204::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","1051"
"Balizamiento","&lt;p&gt;¿ De qué color son las marcas especiales ?&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Amarillo y negro.::0::0::::::A::4109::::;;Rojo con una franja verde.::0::0::::::A::4110::::;;Amarillo.::1::0::::::A::4111::::;;Verde con una franja roja.::0::0::::::A::4112::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","1028"
"Balizamiento","&lt;p&gt;Si divisamos una boya de color negro con una o varias anchas bandas horizontales rojas, significa:&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Lugar para fondear.::0::0::::::A::4105::::;;Prohibido fondear.::0::0::::::A::4106::::;;Buceador sumergido.::0::0::::::A::4107::::;;Peligro aislado.::1::0::::::A::4108::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","1027"
"Balizamiento","&lt;p&gt;Una marca de tope consistente en dos conos negros superpuestos con los vértices hacia abajo, se deberá pasar por el cuadrante:&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Este::0::0::::::A::4101::::;;Oeste::0::0::::::A::4102::::;;Norte::0::0::::::A::4103::::;;Sur::1::0::::::A::4104::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","1026"
"Balizamiento","&lt;p&gt;Dos conos superpuestos con los vértices hacia arriba, es la marca de tope de...&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Marca de peligro aislado.::0::0::::::A::4097::::;;Marca cardinal Norte.::1::0::::::A::4098::::;;No existe.::0::0::::::A::4099::::;;Ninguna respuesta de las anteriores es correcta.::0::0::::::A::4100::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","1025"
"Balizamiento","&lt;p&gt;Las marcas laterales de babor de la región A son:&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"De color amarillo.::0::0::::::A::4093::::;;De color blanco.::0::0::::::A::4094::::;;De color verde .::0::0::::::A::4095::::;;De color rojo.::1::0::::::A::4096::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","1024"
